;Per capita personal consumption expenditures: Gasoline and other energy goods (Dollars);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
;Domestic;Domestic;Domestic;Domestic;Domestic;Domestic;Domestic;Domestic;;;;;;;;;;;;;;;;
Scotland;2093,6;1634,0;1923,8;2014,0;1593,9;1592,4;1205,0;1158,6;;;;;;;;;;;;;;;;
Ireland;1478,1;1131,6;1277,7;1312,4;1015,3;1012,1;764,7;735,8;;;;;;;;;;;;;;;;
Wales;695,5;539,7;625,5;645,5;500,4;497,1;374,4;359,9;;;;;;;;;;;;;;;;
England;3901,3;2975,0;3418,7;3672,3;2742,8;2735,8;2047,2;1961,0;;;;;;;;;;;;;;;;
